TASKS	 CELLS	 TIME	 SPEC 	 ABS
1 32 3.399787e-02 9.638251e+05 9.638251e+05
1 32 2.723353e-02 1.203223e+06 1.203223e+06
1 32 3.141874e-02 1.042944e+06 1.042944e+06
1 32 2.689616e-02 1.218315e+06 1.218315e+06
1 32 2.613594e-02 1.253753e+06 1.253753e+06
1 32 2.632388e-02 1.244801e+06 1.244801e+06
1 32 2.580864e-02 1.269652e+06 1.269652e+06
1 32 2.592299e-02 1.264052e+06 1.264052e+06
1 32 2.870515e-02 1.141537e+06 1.141537e+06
1 32 2.653499e-02 1.234898e+06 1.234898e+06
1 32 2.692239e-02 1.217128e+06 1.217128e+06
1 32 2.626315e-02 1.247680e+06 1.247680e+06
1 32 3.012900e-02 1.087590e+06 1.087590e+06
1 32 3.033579e-02 1.080176e+06 1.080176e+06
1 32 2.996801e-02 1.093433e+06 1.093433e+06
1 32 3.026831e-02 1.082585e+06 1.082585e+06
1 32 3.015460e-02 1.086667e+06 1.086667e+06
1 32 3.142134e-02 1.042858e+06 1.042858e+06
1 32 3.083928e-02 1.062541e+06 1.062541e+06
1 32 3.022499e-02 1.084136e+06 1.084136e+06
1 32 3.009681e-02 1.088753e+06 1.088753e+06
1 32 2.923544e-02 1.120831e+06 1.120831e+06
1 32 3.033399e-02 1.080240e+06 1.080240e+06
1 32 3.043656e-02 1.076600e+06 1.076600e+06
1 32 2.947781e-02 1.111616e+06 1.111616e+06
1 32 3.084049e-02 1.062499e+06 1.062499e+06
1 32 2.881175e-02 1.137314e+06 1.137314e+06
1 32 3.154189e-02 1.038872e+06 1.038872e+06
1 32 3.484594e-02 9.403678e+05 9.403678e+05
1 32 3.200054e-02 1.023983e+06 1.023983e+06
1 32 3.453671e-02 9.487875e+05 9.487875e+05
1 32 3.683135e-02 8.896770e+05 8.896770e+05
1 32 2.940569e-02 1.114342e+06 1.114342e+06
1 32 2.962099e-02 1.106242e+06 1.106242e+06
1 32 2.930097e-02 1.118325e+06 1.118325e+06
1 32 3.560018e-02 9.204447e+05 9.204447e+05
1 32 3.027405e-02 1.082379e+06 1.082379e+06
1 32 3.429842e-02 9.553792e+05 9.553792e+05
1 32 3.088530e-02 1.060958e+06 1.060958e+06
1 32 2.959828e-02 1.107091e+06 1.107091e+06
1 32 2.934963e-02 1.116471e+06 1.116471e+06
1 32 3.023275e-02 1.083858e+06 1.083858e+06
1 32 3.005639e-02 1.090217e+06 1.090217e+06
1 32 2.976294e-02 1.100966e+06 1.100966e+06
1 32 3.009462e-02 1.088833e+06 1.088833e+06
1 32 2.962616e-02 1.106049e+06 1.106049e+06
1 32 3.164535e-02 1.035476e+06 1.035476e+06
1 32 3.017417e-02 1.085962e+06 1.085962e+06
1 32 3.031827e-02 1.080800e+06 1.080800e+06
1 32 3.105134e-02 1.055285e+06 1.055285e+06
1 32 3.049765e-02 1.074444e+06 1.074444e+06
1 32 2.964131e-02 1.105484e+06 1.105484e+06
1 32 3.315832e-02 9.882286e+05 9.882286e+05
1 32 2.633121e-02 1.244455e+06 1.244455e+06
1 32 2.597892e-02 1.261331e+06 1.261331e+06
1 32 2.569741e-02 1.275148e+06 1.275148e+06
1 32 2.613975e-02 1.253570e+06 1.253570e+06
1 32 2.581224e-02 1.269475e+06 1.269475e+06
1 32 2.623972e-02 1.248794e+06 1.248794e+06
1 32 2.670782e-02 1.226907e+06 1.226907e+06
1 32 2.592139e-02 1.264130e+06 1.264130e+06
1 32 3.017478e-02 1.085940e+06 1.085940e+06
1 32 2.644514e-02 1.239093e+06 1.239093e+06
1 32 2.623148e-02 1.249186e+06 1.249186e+06
1 32 2.621809e-02 1.249824e+06 1.249824e+06
1 32 3.244782e-02 1.009867e+06 1.009867e+06
1 32 2.692090e-02 1.217196e+06 1.217196e+06
1 32 2.847035e-02 1.150952e+06 1.150952e+06
1 32 2.764066e-02 1.185500e+06 1.185500e+06
1 32 2.739473e-02 1.196143e+06 1.196143e+06
1 32 3.125553e-02 1.048390e+06 1.048390e+06
1 32 3.071320e-02 1.066903e+06 1.066903e+06
1 32 2.732167e-02 1.199341e+06 1.199341e+06
1 32 2.701044e-02 1.213160e+06 1.213160e+06
1 32 3.126416e-02 1.048101e+06 1.048101e+06
1 32 3.338944e-02 9.813881e+05 9.813881e+05
1 32 2.688343e-02 1.218892e+06 1.218892e+06
1 32 2.652400e-02 1.235409e+06 1.235409e+06
1 32 2.665013e-02 1.229562e+06 1.229562e+06
1 32 2.678649e-02 1.223303e+06 1.223303e+06
1 32 2.650213e-02 1.236429e+06 1.236429e+06
1 32 2.679209e-02 1.223048e+06 1.223048e+06
1 32 2.596229e-02 1.262138e+06 1.262138e+06
1 32 2.598728e-02 1.260924e+06 1.260924e+06
1 32 2.585570e-02 1.267341e+06 1.267341e+06
1 32 2.608784e-02 1.256064e+06 1.256064e+06
